Geoname ID;Name;ASCII Name;Alternate Names;Latitude;Longitude;Feature Class;Feature Code;Country Code;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;Country;Coordinates
694752;Savyntsi;Savyntsi;Savinci,Savincy,Savintsi,Savintsy,Savyntsi,Sawinzy,Савинцы,Савинці;49.40257;37.06266;P;PPL;UA;;07;;;;5326;;101;Europe/Kiev;2014-06-27;Ukraine;49.40257, 37.06266
695459;Ropcha;Ropcha;Ropcha,Ropche,Ропча;48.11988;25.77421;P;PPL;UA;;03;;;;3189;;344;Europe/Kiev;2012-01-18;Ukraine;48.11988, 25.77421
695670;Reni;Reni;Reni,Рени,Рені;45.45727;28.29317;P;PPLA2;UA;;17;;;;19719;;29;Europe/Kiev;2014-11-05;Ukraine;45.45727, 28.29317
696017;Putyla;Putyla;Putila,Putyla,Storonets Putilla,Путила;47.98869;25.09455;P;PPLA2;UA;;03;;;;0;;629;Europe/Kiev;2014-10-01;Ukraine;47.98869, 25.09455
696938;Podgortsy;Podgortsy;Pidhorodtsi,Podgorcy,Podgortse,Podgortsy,Podhorce,Подгорцы;49.94611;24.9795;P;PPL;UA;;15;;;;1076;;313;Europe/Kiev;2012-01-18;Ukraine;49.94611, 24.9795
697006;Pochayiv;Pochayiv;Pochaev,Pochaiv,Pochayev,Pochayiv,Pochayuv Stary,Почаев;50.00509;25.51183;P;PPL;UA;;22;;;;8075;;372;Europe/Kiev;2012-01-18;Ukraine;50.00509, 25.51183
699035;Novovolyns’k;Novovolyns'k;Novovolins'k,Novovolyns'k,Novovolynsk,Novovolynskiy,Novovolyns’k,Нововолинськ,Нововолынск;50.72576;24.16265;P;PPL;UA;;24;;;;57800;;237;Europe/Kiev;2012-11-08;Ukraine;50.72576, 24.16265
699553;Novohrad-Volyns’kyy;Novohrad-Volyns'kyy;Novograd Volynski,Novograd-Volins'kij,Novograd-Volynsk,Novograd-Volynskij,Novograd-Volynskiy,Novohrad-Volyns'kyy,Novohrad-Volyns’kyy,Nowograd Wolynsk,Zvyagel',Zvyagel’,Zvydgel,Zwiahl,Новоград-Волинський,Новоград-Волынский;50.59412;27.6165;P;PPLA2;UA;;27;;;;55925;;218;Europe/Kiev;2014-10-01;Ukraine;50.59412, 27.6165
699839;Nova Kakhovka;Nova Kakhovka;Naujoji Kachovka,Nova Kachovka,Nova Kahovka,Nova Kajovka,Nova Kakhovka,Novaja Kakhovka,Novaya Kakhova,Novaya Kakhovka,Novaya Kaxovka,Novo Kakhovka,Nowa Kachowka,nobakahouka,nwwa kakhwfka,xin ka huo fu ka,Нова Каховка,Новая Каховка,Նովայա Կախովկա,نووا کاخوفکا,新卡霍夫卡,노바카호우카;46.75451;33.34864;P;PPL;UA;;08;;;;50672;;15;Europe/Kiev;2015-01-07;Ukraine;46.75451, 33.34864
699956;Nyzhnya Krynka;Nyzhnya Krynka;Nizhnja Krinka,Nizhnyaya Krinka,Nizhnyaya Krynka,Nyzhnya Krynka,Нижня Кринка;48.1135;38.16064;P;PPL;UA;;05;;;;14253;;173;Europe/Kiev;2014-06-05;Ukraine;48.1135, 38.16064
700159;Mykolayivka;Mykolayivka;Mikolaivka,Mykolayivka,Nikolayevka,Nikolayevka Vtoraya,Миколаївка;47.54135;30.75615;P;PPLA2;UA;;17;;;;3629;;41;Europe/Kiev;2014-11-05;Ukraine;47.54135, 30.75615
700607;Murovanoye;Murovanoye;Laszki Murowane,Lyashki Muravane,Lyashki Murovany,Murovane,Murovanoye,Murovany,Муроване;49.52143;22.9367;P;PPL;UA;;15;;;;4251;;326;Europe/Kiev;2012-01-18;Ukraine;49.52143, 22.9367
700997;Miskhor;Miskhor;Miskhor,Мисхор,Місхор;44.43068;34.07965;P;PPL;UA;;11;;;;30000;;140;Europe/Simferopol;2015-06-08;Ukraine;44.43068, 34.07965
701031;Myronivka;Myronivka;Mironivka,Mironovka,Myronivka,Мироновка,Миронівка;49.66007;30.98225;P;PPLA2;UA;;13;;;;12871;;122;Europe/Kiev;2014-10-01;Ukraine;49.66007, 30.98225
701233;Mykhaylivka;Mykhaylivka;Mihajlivka,Mikhajlivka,Mikhaylovka,Mykhaylivka,Михайлівка;47.27235;35.22235;P;PPLA2;UA;;26;;;;13216;;84;Europe/Zaporozhye;2014-06-05;Ukraine;47.27235, 35.22235
703261;Lenine;Lenine;Lenine,Lenino,Sem'-Kolodezey,Sem’-Kolodezey,Yedi Kuyu,Ленино,Леніне,Լենինո;45.29857;35.77708;P;PPLA2;UA;;11;;;;8297;;22;Europe/Simferopol;2014-04-30;Ukraine;45.29857, 35.77708
703494;Kuybysheve;Kuybysheve;Kujbisheve,Kujbyshevo,Kuybysheve,Kuybyshevo,Куйбишеве,Куйбышево;47.358;36.64908;P;PPLA2;UA;;26;;;;7832;;201;Europe/Zaporozhye;2014-06-26;Ukraine;47.358, 36.64908
704972;Koreyiz;Koreyiz;Koreiz,Koreyiz,Кореиз,Кореїз;44.43374;34.08516;P;PPL;UA;;11;;;;8000;;170;Europe/Simferopol;2015-06-08;Ukraine;44.43374, 34.08516
705307;Koloniya Zastav’ye;Koloniya Zastav'ye;Koloniya Zastav'ye,Koloniya Zastav’ye,Zastav'ye,Zastav’ye;50.81667;27.03333;P;PPL;UA;;19;;;;3642;;197;Europe/Kiev;2012-01-18;Ukraine;50.81667, 27.03333
705494;Kodra;Kodra;Kodra,Кодра;50.59488;29.55873;P;PPL;UA;;13;;;;1685;;146;Europe/Kiev;2013-04-04;Ukraine;50.59488, 29.55873
705689;Klavdiyevo-Tarasove;Klavdiyevo-Tarasove;Dachi Klavdiyevo,Klavdievo-Tarasove,Klavdievo-Tarasovo,Klavdiyevo-Tarasove,Klavdiyevo-Tarasovo,Клавдиево-Тарасово,Клавдіэво-Тарасове,Клавдієво-Тарасове;50.58416;30.01134;P;PPL;UA;;13;;;;4685;;168;Europe/Kiev;2013-04-04;Ukraine;50.58416, 30.01134
706612;Katyuzhanka;Katyuzhanka;Katiuzhanka,Katjuzhanka,Katyuzhanka,Катюжанка;50.80595;30.13763;P;PPL;UA;;13;Vyshhorod Raion (undefined);;;4046;;139;Europe/Kiev;2014-01-10;Ukraine;50.80595, 30.13763
707099;Kalush;Kalush;Kalouch,Kalush,Kalusz,Katusz,Kałusz,karushu,Калуш,קאַלוש,カルシュ;49.01187;24.37308;P;PPLA2;UA;;06;707098;;;67698;;279;Europe/Kiev;2014-09-05;Ukraine;49.01187, 24.37308
709353;Romaniv;Romaniv;Dsershinsk,Dzerzhinsk,Dzerzhyns'k,Dzerzhyns’k,Romaniv,Romanov,Романів;50.14802;27.93124;P;PPLA2;UA;;27;;;;0;;239;Europe/Kiev;2014-10-01;Ukraine;50.14802, 27.93124
710653;Chornyanka;Chornyanka;Chernen'ka,Chernen’ka,Chernjanka,Chernyanka,Chornjanka,Chornyanka,Чернянка,Чорнянка;46.65222;33.35904;P;PPL;UA;;08;;;;3363;;14;Europe/Kiev;2015-01-07;Ukraine;46.65222, 33.35904
710660;Chernyakhivka;Chernyakhivka;Chernjakhovka,Chernyakhivka,Черняховка;50.21882;31.93082;P;PPL;UA;;13;;;;1002;;124;Europe/Kiev;2013-03-24;Ukraine;50.21882, 31.93082
710669;Chornukhy;Chornukhy;Chernukhi,Chornukhi,Chornukhy,Чернухи,Чорнухи;50.26732;32.94196;P;PPLA2;UA;;18;;;;3075;;114;Europe/Kiev;2014-12-03;Ukraine;50.26732, 32.94196
711134;Burshtyn;Burshtyn;Ambar,Ambr,Ambra,Ambre,Baernsten,Barnsteen,Burschtyn,Burshtin,Burshtyn,Burstron,Bursztyn,Bärnsten,Gintaras,Ho phach,Hổ phách,Jantar,Jantar',Merevaik,Meripihka,Raf,Rav,Sucino,Sukceno,ampar,burushutin,hobag,hu po,kohaku,Âmbar,Бурштин,Бурштын,Янтарь,ענבר,அம்பர்,コハク,ブルシュティン,琥珀,호박;49.25867;24.62777;P;PPL;UA;;06;;;;14729;;243;Europe/Kiev;2013-01-10;Ukraine;49.25867, 24.62777
